HRLM,TC,GSR
,33.625,12015294.11764707
,33.5,14594285.714285726
,33.5625,17030000.000000015
,33.75,20440000.00000002
,33.625,18580000.000000015
,33.625,17030000.000000015
,33.4375,15718461.538461555
,33.625,17030000.000000015
,33.625,13620000.000000011
,33.5,15718461.538461555
,33.625,13620000.000000011
,33.5625,34080000.00000003
,33.625,14594285.714285726
,33.5625,10210000.00000001
,33.625,17030000.000000015
,33.625,20440000.00000002
,33.5,13620000.000000011
,33.625,20440000.00000002
,33.5625,13620000.000000011
,33.8125,15718461.538461555
,33.6875,29208571.42857145
,33.4375,10748421.052631589
,33.625,13620000.000000011
,33.6875,13620000.000000011
,33.75,15718461.538461555
,33.625,14594285.714285726
,33.5625,20440000.00000002
,33.625,18580000.000000015
,33.625,17030000.000000015
,33.5625,15718461.538461555
,33.5625,11346666.666666677
,33.625,29208571.42857145
,33.625,15718461.538461555
,33.4375,15718461.538461555
,33.6875,10748421.052631589
,33.5,14594285.714285726
,33.5,17030000.000000015
,33.625,18580000.000000015
,33.5,10748421.052631589
,33.6875,14594285.714285726
,33.5625,17030000.000000015
,33.6875,15718461.538461555
,33.625,17030000.000000015
,33.5,20440000.00000002
,33.625,11346666.666666677
,33.5625,15718461.538461555
,33.5625,13620000.000000011
,33.75,15718461.538461555
,33.625,12767500.000000011
,33.5625,15718461.538461555
,33.625,14594285.714285726
,33.5,15718461.538461555
,33.75,15718461.538461555
,33.625,17030000.000000015
,33.625,10748421.052631589
,33.625,20440000.00000002
,33.5625,11346666.666666677
,33.6875,14594285.714285726
,33.6875,22713333.333333354
,33.6875,12015294.11764707
,33.625,15718461.538461555
,33.5625,14594285.714285726
,33.625,17030000.000000015
,33.6875,18580000.000000015
,33.625,14594285.714285726
,33.5625,13620000.000000011
,33.6875,17030000.000000015
,33.625,12767500.000000011
,33.5625,17030000.000000015
,33.625,14594285.714285726
,33.6875,13620000.000000011
,33.4375,20440000.00000002
,33.5625,20440000.00000002
,33.625,14594285.714285726
,33.625,14594285.714285726
,33.6875,22713333.333333354
,33.6875,15718461.538461555
,33.75,10748421.052631589
,33.625,20440000.00000002
,33.5625,15718461.538461555
,33.625,15718461.538461555
,33.75,18580000.000000015
,33.5,17030000.000000015
,33.625,14594285.714285726
,33.5,22713333.333333354
,33.625,13620000.000000011
,33.625,12767500.000000011
,33.5625,11346666.666666677
,33.6875,15718461.538461555
,33.625,12767500.000000011
,33.625,18580000.000000015
,33.6875,15718461.538461555
,33.5625,29208571.42857145
,33.5,14594285.714285726
,33.75,17030000.000000015
,33.625,15718461.538461555
,33.625,15718461.538461555
,33.8125,15718461.538461555
,33.75,15718461.538461555
,33.8125,12767500.000000011
,33.625,12767500.000000011
,33.5,15718461.538461555
,33.6875,13620000.000000011
,33.6875,12767500.000000011
,33.625,15718461.538461555
,33.75,15718461.538461555
,33.625,10748421.052631589
,33.5,20440000.00000002
,33.5,11346666.666666677
,33.5,12015294.11764707
,33.625,22713333.333333354
,33.6875,10748421.052631589
,33.6875,14594285.714285726
,33.625,29208571.42857145
,33.4375,12015294.11764707
,33.625,14594285.714285726
,33.625,13620000.000000011
,33.5,12015294.11764707
,33.5625,11346666.666666677
,33.625,22713333.333333354
,33.5625,13620000.000000011
,33.625,14594285.714285726
,33.6875,15718461.538461555
,33.5,13620000.000000011
,33.625,17030000.000000015
,33.6875,10748421.052631589
,33.625,14594285.714285726
,33.625,15718461.538461555
,33.75,12767500.000000011
,33.5625,15718461.538461555
,33.625,20440000.00000002
,33.6875,13620000.000000011
,33.75,11346666.666666677
,33.8125,17030000.000000015
,33.5625,9722857.142857153
,33.5,10210000.00000001
,33.6875,14594285.714285726
,33.75,6180000.000000006
,33.625,9722857.142857153
,33.5,18580000.000000015
,33.625,14594285.714285726
,33.625,14594285.714285726
,33.5625,609538.4615384621
,33.8125,414394.9044585991
,33.6875,440810.81081081124
,33.6875,371954.02298850537
,33.75,172655.36723163843
,33.75,41202.512713131924
,33.6875,26310.547759167046
,33.6875,22830.228176679924
,33.75,21678.549602770418
,33.625,23559.71896955503
,33.5625,22902.075906898717
,33.625,20283.52037802717
,33.625,21100.84371233427
,33.625,20180.675569520816
,33.75,20133.385641428013
,33.5,20149.136577708006
,33.625,20101.920815366524
,33.6875,20109.782395608705
,33.5625,20125.514806824867
,33.5625,20125.514806824867
,33.625,20133.385641428013
,33.6875,20117.647058823528
,33.625,20094.06231628454
,33.6875,20141.259564449676
,33.5625,20125.514806824867
,33.5,20094.06231628454
,33.625,20094.06231628454
,33.625,20125.514806824867
,33.625,20141.259564449676
,33.4375,20125.514806824867
,33.5,20101.920815366524
,33.625,20141.259564449676
,33.5,20125.514806824867
,33.625,20125.514806824867
,33.6875,20141.259564449676
,33.625,20133.385641428013
,33.4375,20133.385641428013
,33.625,20149.136577708006
,33.4375,20133.385641428013
,33.625,20101.920815366524
,33.5,20133.385641428013
,33.625,20141.259564449676
,33.5,20125.514806824867
,33.625,20141.259564449676
,33.5,20109.782395608705
,33.75,20117.647058823528
,33.6875,20133.385641428013
,33.625,20141.259564449676
,33.5625,20149.136577708006
,33.8125,20133.385641428013
,33.6875,20164.89988221437
,33.5625,20109.782395608705
,33.5625,20109.782395608705
,33.5625,20125.514806824867
,33.4375,20109.782395608705
,33.4375,20109.782395608705
,33.5,20070.50528789659
,33.625,20094.06231628454
,33.5625,20078.35455435847
,33.6875,20109.782395608705
,33.5,20078.35455435847
,33.5625,20086.20689655172
,33.5,20086.20689655172
,33.5625,20078.35455435847
,33.6875,20094.06231628454
,33.5625,20086.20689655172
,33.5,20133.385641428013
,33.5,20109.782395608705
,33.5625,20117.647058823528
,33.5,20094.06231628454
,33.5625,20078.35455435847
,33.75,20086.20689655172
,33.625,20094.06231628454
,33.5625,20086.20689655172
,33.6875,20109.782395608705
,33.625,20078.35455435847
,33.625,20078.35455435847
,33.75,20125.514806824867
,33.6875,20086.20689655172
,33.625,20070.50528789659
,33.625,20094.06231628454
,33.6875,20125.514806824867
,33.625,20109.782395608705
,33.625,20133.385641428013
,33.4375,20070.50528789659
,33.8125,20141.259564449676
,33.625,20133.385641428013
,33.5,20117.647058823528
,33.4375,20094.06231628454
,33.5625,20094.06231628454
,33.5625,20125.514806824867
,33.625,20125.514806824867
,33.625,20117.647058823528
,33.625,20094.06231628454
,33.625,20125.514806824867
,33.5,20133.385641428013
,33.6875,20125.514806824867
,33.625,20109.782395608705
,33.4375,20101.920815366524
,33.5,20101.920815366524
,33.5625,20125.514806824867
,33.625,20094.06231628454
,33.375,20109.782395608705
,33.5625,20125.514806824867
,33.5625,20078.35455435847
,33.625,20078.35455435847
,33.5625,20125.514806824867
,33.5,20149.136577708006
,33.625,20157.016683022568
,33.5,20133.385641428013
,33.5625,20117.647058823528
,33.625,20117.647058823528
,33.625,20117.647058823528
,33.625,20086.20689655172
,33.75,20101.920815366524
,33.5,20117.647058823528
,33.5625,20086.20689655172
,33.625,20094.06231628454
,33.5625,20141.259564449676
,33.625,20133.385641428013
,33.625,20109.782395608705
,33.625,20109.782395608705
,33.625,20133.385641428013
,33.5625,20141.259564449676
,33.625,20141.259564449676
,33.5,20078.35455435847
,33.5,20133.385641428013
,33.625,20125.514806824867
,33.5625,20125.514806824867
,33.625,20125.514806824867
,33.625,20149.136577708006
,33.625,20086.20689655172
,33.625,20078.35455435847
,33.4375,20117.647058823528
,33.5,20157.016683022568
,33.625,20109.782395608705
,33.5,20101.920815366524
,33.5625,20117.647058823528
,33.625,20094.06231628454
,33.625,20109.782395608705
,33.5625,20164.89988221437
,33.625,20125.514806824867
,33.5,20141.259564449676
,33.6875,20188.56806128462
,33.625,20094.06231628454
,33.5,20117.647058823528
,33.625,20117.647058823528
,33.6875,20149.136577708006
,33.4375,20133.385641428013
,33.5625,20180.675569520816
,33.625,20086.20689655172
,33.625,20149.136577708006
,33.625,20094.06231628454
,33.625,20078.35455435847
,33.625,20141.259564449676
,33.4375,20086.20689655172
,33.5625,20157.016683022568
,33.6875,20070.50528789659
,33.5625,20101.920815366524
,33.625,20157.016683022568
,33.4375,20109.782395608705
,33.75,20141.259564449676
,33.625,20101.920815366524
,33.625,20101.920815366524
,33.625,20117.647058823528
,33.5,20094.06231628454
,33.625,20149.136577708006
,33.4375,20117.647058823528
,33.5,20101.920815366524
,33.5,20133.385641428013
,33.5625,20109.782395608705
,33.6875,20109.782395608705
,33.5625,20125.514806824867
,33.5,20133.385641428013
,33.6875,20164.89988221437
,33.4375,20101.920815366524
,33.5625,20109.782395608705
,33.625,20125.514806824867
,33.5,20133.385641428013
,33.6875,20109.782395608705
,33.6875,20149.136577708006
,33.6875,20101.920815366524
,33.5625,20141.259564449676
,33.625,20125.514806824867
,33.4375,20125.514806824867
,33.6875,20109.782395608705
,33.5625,20086.20689655172
,33.625,20141.259564449676
,33.5625,20164.89988221437
,33.625,20133.385641428013
,33.625,20117.647058823528
,33.6875,20133.385641428013
,33.625,20094.06231628454
,33.5625,20157.016683022568
,33.625,20133.385641428013
,33.625,20101.920815366524
,33.6875,20117.647058823528
,33.5,20117.647058823528
,33.5,20094.06231628454
,33.625,20094.06231628454
,33.6875,20078.35455435847
,33.6875,20109.782395608705
,33.5625,20125.514806824867
,33.4375,20094.06231628454
,33.5,20086.20689655172
,33.5,20164.89988221437
,33.625,20133.385641428013
,33.6875,20101.920815366524
,33.4375,20125.514806824867
,33.625,20125.514806824867
,33.625,20141.259564449676
,33.4375,20094.06231628454
,33.625,20101.920815366524
,33.5625,20149.136577708006
,33.5,20125.514806824867
,33.625,20086.20689655172
,33.5,20141.259564449676
,33.5625,20172.78617710583
,33.625,20101.920815366524
,33.5,20172.78617710583
,33.625,20157.016683022568
,33.5,20094.06231628454
,33.5,20117.647058823528
,33.625,20094.06231628454
,33.375,20149.136577708006
,33.6875,20125.514806824867
,33.625,20086.20689655172
,33.5,20149.136577708006
,33.6875,20109.782395608705
,33.5625,20149.136577708006
,33.6875,20141.259564449676
,33.5,20141.259564449676
,33.5,20094.06231628454
,33.6875,20133.385641428013
,33.625,20078.35455435847
,33.625,20109.782395608705
,33.6875,20086.20689655172
,33.6875,20141.259564449676
,33.625,20125.514806824867
,33.8125,20086.20689655172
,33.6875,20117.647058823528
,33.625,20109.782395608705
,33.625,20133.385641428013
,33.4375,20078.35455435847
,33.625,20109.782395608705
,33.6875,20086.20689655172
,33.625,20094.06231628454
,33.625,20109.782395608705
,33.5625,20125.514806824867
,33.6875,20133.385641428013
,33.625,20125.514806824867
,33.625,20094.06231628454
,33.6875,20172.78617710583
,33.6875,20094.06231628454
,33.6875,20133.385641428013
,33.6875,20109.782395608705
,33.625,20086.20689655172
,33.5625,20164.89988221437
,33.625,20070.50528789659
,33.625,20157.016683022568
,33.6875,20094.06231628454
,33.5625,20157.016683022568
,33.6875,20130.761686825757
,33.5625,
,33.625,
,33.75,
,33.625,
,33.5625,
,33.625,
,33.625,
,33.6875,
,33.625,
,33.6875,
,33.5625,
,33.625,
,33.5,
,33.5625,
,33.625,
,33.75,
,33.5625,
,33.625,
,33.5,
,33.6875,
,33.625,
,33.6875,
,33.6875,
,33.5,
,33.8125,
,33.625,
,33.625,
,33.6875,
,33.5,
,33.5,
,33.625,
,33.625,
,33.625,
,33.6875,
,33.625,
,33.5625,
,33.75,
,33.4375,
,33.5,
,33.5625,
,33.625,
,33.4375,
,33.625,
,33.5,
,33.5625,
,33.75,
,33.5,
,33.5625,
,33.6875,
,33.6875,
,33.625,
,33.625,
,33.6875,
,33.6875,
,33.625,
,33.6875,
,33.625,
,33.5625,
,33.625,
,33.625,
,33.5625,
,33.6875,
,33.6875,
,33.5625,
,33.6875,
,33.5625,
,33.5625,
,33.8125,
,33.625,
,33.625,
,33.6875,
,33.6875,
,33.6875,
,33.5625,
,33.6875,
,33.625,
,33.75,
,33.625,
,33.5625,
,33.5,
,33.375,
,33.6875,
,33.625,
,33.5625,
,33.6875,
,33.6875,
,33.6875,
,33.625,
,33.375,
,33.6875,
,33.75,
,33.6875,
,33.5625,
,33.5,
,33.5,
,33.5,
,33.625,
,33.625,
,33.6875,
,33.5,
,33.625,
,33.625,
,33.625,
,33.4375,
,33.625,
,33.6875,
,33.6875,
,33.625,
,33.625,
,33.625,
,33.5,
,33.5,
,33.625,
,33.625,
,33.75,
,33.6875,
,33.6875,
,33.625,
,33.625,
,33.4375,
,33.625,
,33.6875,
,33.5,
,33.625,
,33.5625,
,33.625,
,33.75,
,33.625,
,33.6875,
,33.5,
,33.5625,
,33.5625,
,33.625,
,33.4375,
,33.5,
,33.5,
,33.625,
,33.5,
,33.625,
,33.625,
,33.625,
,33.6875,
,33.5625,
,33.75,
,33.5,
,33.6875,
,33.6875,
,33.6875,
,33.6875,
,33.625,
,33.5,
,33.625,
,33.625,
,33.5,
,33.6875,
,33.6875,
,33.625,
,33.625,
,33.6875,
,33.625,
,33.6875,
,33.6875,
,33.625,
,33.6875,
,33.6875,
,33.5625,
,33.5,
,33.5625,
,33.625,
,33.6875,
,33.5625,
,33.75,
,33.625,
,33.75,
,33.625,
,33.6875,
,33.625,
,33.625,
,33.5625,
,33.625,
,33.625,
,33.6875,
,33.8125,
,33.5,
,33.625,
,33.625,
,33.625,
,33.6875,
,33.5625,
,33.5,
,33.625,
,33.625,
,33.625,
,33.625,
,33.5,
,33.6875,
,33.6875,
,33.75,
,33.5625,
,33.625,
,33.75,
,33.75,
,33.625,
,33.75,
,33.625,
,33.625,
,33.5,
,33.625,
,33.5,
,33.625,
,33.6875,
,33.625,
,33.625,
,33.625,
,33.625,
,33.625,
,33.5,
,33.6875,
,33.5625,
,33.5,
,33.6875,
,33.625,
,33.6875,
,33.625,
,33.5625,
,33.625,
,33.5,
,33.625,
,33.5625,
,33.6875,
,33.625,
,33.4375,
,33.625,
,33.75,
,33.6875,
,33.625,
,33.625,
,33.625,
,33.6875,
,33.6875,
,33.625,
,33.6875,
,33.625,
,33.625,
,33.75,
,33.5625,
,33.625,
,33.5625,
,33.8125,
,33.6875,
,33.75,
,33.6875,
,33.625,
,33.6875,
,33.625,
,33.6875,
,33.6875,
,33.625,
,33.75,
,33.5,
,33.625,
,33.625,
,33.5625,
,33.5625,
,33.625,
,33.625,
,33.625,
,33.5625,
,33.6875,
,33.75,
,33.625,
,33.625,
,33.6875,
,33.6875,
,33.8125,
,33.6875,
,33.625,
,33.6875,
,33.6875,
,33.5625,
,33.5,
,33.75,
,33.5625,
,33.625,
,33.6875,
,33.625,
,33.75,
,33.625,
,33.625,
,33.625,
,33.6875,
,33.6875,
,33.75,
,33.6875,
,33.75,
,33.5,
,33.75,
,33.6875,
,33.5625,
,33.6875,
,33.75,
,33.625,
,33.75,
,33.75,
,33.625,
,33.6875,
,33.6875,
,33.75,
,33.625,
,33.5625,
,33.625,
,33.625,
,33.6875,
,33.5625,
,33.625,
,33.8125,
,33.625,
,33.625,
,33.75,
,33.75,
,33.75,
,33.625,
,33.6875,
,33.75,
,33.625,
,33.6875,
,33.75,
,33.6875,
,33.75,
,33.6875,
,33.75,
,33.625,
,33.625,
,33.6875,
,33.5,
,33.5625,
,33.75,
,33.6875,
,33.625,
,33.4375,
,33.6875,
,33.5,
,33.625,
,33.5,
,33.625,
,33.6875,
,33.5625,
,33.8125,
,33.6875,
,33.625,
,33.6875,
,33.625,
,33.625,
,33.75,
,33.625,
,33.6875,
,33.75,
,33.6875,
,33.6875,
,33.75,
,33.625,
,33.8125,
,33.625,
,33.5625,
,33.75,
,33.75,
,33.625,
,33.6875,
,33.75,
,33.6875,
,33.5625,
,33.625,
,33.6875,
,33.75,
,33.6875,
,33.6875,
,33.625,
,33.625,
,33.625,
,33.75,
,33.5625,
,33.75,
,33.6875,
,33.6875,
,33.625,
,33.6875,
,33.625,
,33.6875,
,33.625,
,33.75,
,33.8125,
,33.75,
,33.75,
,33.625,
,33.75,
,33.625,
,33.6875,
,33.75,
,33.75,
,33.75,
,33.6875,
,33.625,
,33.75,
,33.8125,
,33.8125,
,33.8125,
,33.6875,
,33.8125,
,33.625,
,33.8125,
,33.625,
,33.625,
,33.75,
,33.6875,
,33.6875,
,33.8125,
,33.75,
,33.8125,
,33.625,
,33.625,
,33.6875,
,33.875,
,33.6875,
,33.6875,
,33.75,
,33.8125,
,33.8125,
,33.6875,
,33.625,
,33.75,
,33.6875,
,33.6875,
,33.75,
,33.625,
,33.625,
,33.75,
,33.6875,
,33.75,
,33.625,
,33.6875,
,33.5625,
,33.6875,
,33.8125,
,33.625,
,33.875,
,33.75,
,33.75,
,33.8125,
,33.75,
,33.8125,
,33.625,
,33.875,
,33.75,
,33.625,
,33.6875,
,33.6875,
,33.6875,
,33.8125,
,33.6875,
,33.75,
,33.6875,
,33.6875,
,33.6875,
,33.6875,
,33.75,
,33.75,
,33.75,
,33.75,
,33.75,
,33.8125,
,33.8125,
,33.625,
,33.875,
,33.6875,
,33.75,
,33.8125,
,33.6875,
,33.75,
,33.8125,
,33.75,
,33.75,
,33.6875,
,33.75,
,33.6875,
,33.875,
,33.8125,
,33.8125,
,33.6875,
,33.8125,
,33.625,
,33.625,
,33.8125,
,33.6875,
,33.8125,
,33.8125,
,33.75,
,33.4375,
,33.75,
,33.75,
,33.75,
,33.75,
,33.625,
,33.75,
,33.9375,
,33.875,
,33.8125,
,33.75,
,33.8125,
,33.75,
,33.8125,
,33.6875,
,33.6875,
,33.625,
,33.8125,
,33.8125,
,33.75,
,33.75,
,33.875,
,33.875,
,33.75,
,33.875,
,33.625,
,33.75,
,33.8125,
,33.8125,
,33.75,
,33.75,
,33.8125,
,33.75,
,33.875,
,33.75,
,33.75,
,33.8125,
,33.75,
,33.75,
,33.6875,
